en_name,zh_name,ja_name
Wargame: Red Dragon,战争游戏 红龙,
WARZ,杀出黎明OL,
My Legend of Immortal Cultivation,我的修仙传奇,
The Legend of Korra: A New Era Begins,科拉传奇：新幕开启,
Parkour every day,天天跑酷,
UnSummoning：The Spectral Horde,反召唤：幽灵部落,
Colony Ship: A Post-Earth Role Playing Game,殖民船：后地球,
LuLu's weapons shop,露露的装备店,
Musou Stars,无双全明星,無双スターズ
NASCAR Heat 4,热力纳斯卡4,
868-HACK,黑客868,
Geometry Boxer,几何拳击手,
Ikoka Game,伊科卡游戏,
Blaster Master Zero,超惑星战记ZERO,
Dragon Age II,龙腾世纪2,
Shin Yomawari,深夜廻,
Mega Mall Story 2,百货商场物语2,
Pac-Man and the Ghostly Adventures 2,吃豆人的可怕冒险2,
Vampirem,吸血鬼,
Dark Horizon,黑暗地平线,
Disgaea 2,魔界战记2,魔界戦記ディスガイア2
Sherlock Holmes: The Awakened,福尔摩斯：觉醒,
Yu Feng Shen,御封神,
Wanderlust Adventures,流浪大冒险,
Marvel Trading Card Game,漫画英雄卡片游戏,
Existentia,存在,
Hidden Expedition: Smithsonian Castle,探秘远征8：史密森尼古堡,
Tanglewood,缠绕丛林,
Vampires and Afternoon Tea,吸血鬼与下午茶,
Pirates Odyssey: To Each His Own,海盗奥德赛：人各有志,
Dark Fall: Lost Souls,黑暗降临：失落的灵魂,
King’s Bounty: Legions,国王的恩赐：罗马军团,
Stone Story RPG,石头记,
,新 宝可梦随乐拍,New ポケモンスナップ
Tainted Grail,堕落圣杯,
Heroes of Might and Magic II: The Succession Wars,魔法门之英雄无敌2：继承权战争,
In Exilium,流放之中,
Gearcrack Arena,裂轮竞技场,
The Setllers 4,工人物语4,
Smugglers 5: Invasion,星际走私5：入侵,
,回忆的日子,デイズ オブ メモリーズ
Shadow Corridor 2,影廊2：雨之四葩,
COAST GUARD,海岸警卫队,
Retro Classix: Wizard Fire,巫师之火,
Final Fantasy Ⅳ,最终幻想4,
Korea: Forgotten Conflict,朝鲜：被遗忘的战争,
Finding Anastasia,寻找安娜斯塔西娅,
Soft Body,软体,
Desperate Housewives,疯狂主妇,
Psionic Awake,灵能觉醒,
Nancy Drew：Secret of the Scarlet Hand,南茜朱尔：血手印之谜,
XBLAZE CODE : EMBRYO,苍翼异闻录 代码：新生,
Hometopia,房屋规划师,
Legends of Runeterra,符文大地传说,
Another Brick in the Mall,商场里的另一块砖,
King of Seas,海洋之王,
Adventure of the Skullmancer,骷髅法师之旅,
Final Fantasy Agito Plus,最终幻想 Agito Plus,
,热血硬派国夫君外传 热血少女2,熱血硬派くにおくん外伝 リバーシティガールズ2
Test Drive: Ferrari Racing Legends,无限试驾：法拉利,
hallucination,幻觉,
Little Witch Parifait 2,小魔女帕妃2,
ChunQiu,春秋,
Limitless Bit,王国警备队,
First Person Tennis 2,第一人称网球2,
Need for Speed: Most Wanted,极品飞车：最高通缉,
Tetris Effect,俄罗斯方块效应,
Star Mine,星矿,
Queen's Quest: Tower of Darkness,女王密使：黑暗之塔,
ICARUS,翼星求生,
Bowmasters,冷血射手,
Ascension VR,暗杀神VR,
Clone Drone in the Danger Zone,机器人角斗场,
Miasmata,密斯玛塔,
Arcania: Gothic 4,哥特王朝4：阿卡尼亚,
,天诛4,
Ankh 3: Battle of the Gods,十字生命章3：众神之战,
Grand Theft Auto: Episodes from Liberty City,侠盗猎车手4：自由城之章,
BlazBlue Entropy Effect,苍翼：混沌效应,
,遥远时空中6,遙かなる時空の中で 6
The Last Islands of Man,人类最后的岛屿,
Soul Dossier,封灵档案,
Assault Suit LEYNOS,重装机兵雷诺斯,
Dungeons & Dragons Online,龙与地下城Online,
Platypus,粘土战机,
Enola,伊诺拉,
Paragon,帕拉贡,
Pirates of Black Cove,黑湾海盗,
,转厝,
Sword of the Stars 2: Lords of Winter,星际之剑2：凛冬王者,
RAINBOW HIGH: RUNWAY RUSH,RAINBOW HIGH：席卷T台,
Rockman X4,洛克人X4,
Agents of Mayhem,混乱特工,
Senko No Ronde 2,旋光之轮舞2,旋光の輪舞2
Maestro: Music of Death,音乐大师：死亡乐章,
Luminosity,发光体,
Battle Royale Trainer,吃鸡模拟器,
Valhall,瓦尔哈拉,
TUN TOWN 2,阿猫阿狗2,
Tales of Terror 3: Estate of the Heart,恐怖故事3：心之居所,
Ravensburger Puzzle,全景拼图,
Gabriel Knight 3,狩魔猎人3,
Adventure Chronicles: The Search for Lost Treasure,冒险编年史：寻找失落的宝藏,
Cricket 22,板球22,
Hana no No ni Saku Utakata no,五色浮影绽放于花之海洋,花の野に咲くうたかたの
Pool Cleaning Simulator,泳池清洁模拟器,
Swords & Soldiers,剑与勇士,
Pandemic: The Board Game,瘟疫危机,
Little Busters!,小小克星,
CRYMACHINA,恸哭奇机,
Night of Full Moon,月圆之夜,
Vilesteel,钢甲铁魂,
The Blind Prophet,盲人先知,
Magrunner: Dark Pulse,磁力高手：黑暗脉冲,
Shop It Up!,大抢购,
Tian Zi Jian,天子剑,
Soccer Slammers,足球运动员,
,撕逼豆派对,
SpongeBob HeroPants,海绵宝宝 英雄裤子,
Harvest Moon: One World,丰收之月：一个世界,
Where The Water Tastes Like Wine,彼处水如酒,
Restricted Area,限制区,
Chaoyuehaidao,超越海盗,
,天翔铁骑 HD,アンダーディフィートHD
Rodea the Sky Soldier,天空机士罗迪亚,
Nancy Drew Dossier：Resorting to Danger,南茜朱尔档案：诉诸危险,
Dark Parables: The Swan Princess and The Dire Tree Collector's Edition,黑暗寓言：天鹅公主和可怕的树,
Zoria: Age of Shattering,佐瑞亚：碎裂纪元,
Diaries of a Spaceport Janitor,太空清洁工日记,
Might and Magic IX: Writ of Fate,魔法门9：命运圣典,
One Hell of a Trip,地狱之旅,
Dragon Age：Origins,龙腾世纪：起源,
Office Lovers,职场恋人,
San Guo Ba Ye 2,三国霸业2,
X-Tactics,交叉战术,
Escape Plan,逃脱计划,
SuperTuxKart,超级3D卡丁车,
TETRA's Escape,块仔大逃脱,
The Three Kingdoms of China,中华三国志,
,妖怪手表3 寿喜烧,妖怪ウォッチ3 スキヤキ
Cricket 19,板球19,
Serious Sam：Kamikaze Attack,英雄萨姆：自爆队的袭击,
Epic Mickey 2: The Power of Two,传奇米老鼠2：双重力量,
Silent Hunter 3,猎杀潜航3,
Anno 2205,纪元2205,
Qinoto,奇诺多与无尽之塔,
Spirits of Mystery：The Dark Minotaur,鬼魂之谜3：黑暗牛头怪,
Die in the Dungeon: Origins,骰死地牢,
Ultionus A Tale of Petty Revenge,终极责任：复仇小故事,
How to Train Your Dragon 2,驯龙高手2,
Math Hero - Minimalist Puzzle,数学英雄,
Assassin's Creed Rogue,刺客信条：叛变,
Gensokyo Defenders,幻想乡守护者,
,智龙迷城X 神之章/龙之章,パズドラクロス 神の章／龍の章
Cyanotype Daydream,白日梦的构想图,
Hide & Dance!,舞蹈迷藏,
Where Pandas,熊猫在哪里,
Tesla: The Weather Man,气象战士,
Carmageddon,疯狂飙车,
,太鼓达人 Wii U,太鼓の達人 Wii Uば～じょん！
Cars 2,汽车总动员2,
Change All My Dear GOD Of Death,阎萝大人！不要闹,
Retro Classix: Joe & Mac,战斗原始人,
Tiger Woods PGA Tour 2002,泰格伍兹高尔夫球巡回赛2002,
Between Me and The Night,我与黑夜之间,
The Guild 3,行会3,
Run or Die,逃或死,
The Sims：Superstar,模拟人生：超级明星,
Funky Barn 3D,快乐动物农场3D,
Dual Pen Sports,双笔运动,
Realm Revolutions,魔法王国进化,
Star Ring,星环之诗,
Block hood,方块年代,
Return to Monkey Island,重返猴岛,
Bridge It,桥梁建造家,
Dad Beat Dads,老爹大混战,
Hero Academy,英雄学院,
Dragon's Wake,龙之觉醒,
V-Rally 4,V拉力赛车4,
Prince of Persia: The Fallen King,波斯王子 堕落之王,
Medieval Engineers,中世纪工程师,
Alice's Burger Shop,爱丽丝的汉堡店,
Portal Dungon,传送地下城,
Raji: An Ancient Epic,拉吉：远古传奇,
Heave Ho,嘿哟走你！,
WitchSpring R,魔女之泉R,
,东方妖精武踏会,
Hegemony Rome: The Rise of Caesar,罗马霸权 凯撒崛起,
Sonic Heroes,索尼克英雄,
Yuoni,夕鬼,
Family Guy: Back to the Multiverse,恶搞之家：回归宇宙,
Best in Show Solitaire,最佳展示纸牌,
Navy SEALs,海豹突击队,
,最终幻想 纷争NT,ディシディア ファイナルファンタジNT
Endless Voyage,无尽航线,
Amnesia：The Dark Descent,失忆症：黑暗后裔,
The Last Night,最后一夜,
Rising Thunder,雷霆崛起,
Rosemary's Fate Chapter 1,罗斯玛丽的命运 第一章,
,灵魂能力 毁灭宿命,ソウルキャリバー Broken Destiny
AereA,空岛战乐团,
Sword of the Stars,星际之剑,
,拯救公主:无限循环,
Carmageddon 2: Carpocalypse Now,疯狂飙车2,
Alone With You,与你独处,
The Legend of Heroes: Hajimari No Kiseki,英雄传说：创之轨迹,英雄伝説 创の轨跡
Dungeon of Elements,地牢元素,
The Adventures of Perseus,珀耳修斯的冒险,
qishipaidui,骑士派对,
Lanternus Luminent Descent,深海潜行,
Tian Di Chuan Shuo：Yu Mei Ren,天地传说：鱼美人,
Mushroom Wars 2,蘑菇战争2,
Quest of the Sorceress,女巫冒险之旅,
Chronicles of Mystery：The Legend of the Sacred Treasure,神秘传奇：传说的神圣宝藏,
mengchongxiyou,萌宠西游,
Panzer Strategy,装甲策略,
Pixel Gear,像素大作战,
Gardens Inc.2: The Road to Fame Platinum,花园公司2：成名之路,
GOAL! The Club Manager,进球！俱乐部经理,
Taxi,出租车,
Atelier Marie Remake: TheAlchemist of Salburg,玛莉的炼金工房：重制版,
,新天魔界 混沌时代V,新天魔界 ジェネレーション オブ カオスV
Leadfoot Stadium Offroad Racing,利富特体育馆赛车,
Adventure Player,冒险人,
Dragon Kingdom War,神魔之界：七国之战,
Putt-Putt Saves the Zoo,宝宝噗车噗车动物园,
Flock!,放牧幽浮,
Hyperdimension Neptunia Re;Birth 1,超次次元游戏：海王星重生,
Fruit Ninja VR 2,水果忍者VR2,
Tom Clancy's Rainbow Six,彩虹六号,
Phantom Doctrine,幻影法则,
Wario Land: Shake It!,瓦里奥大陆 摇摆,
ISOLAND：To the mysterious world,迷失岛,
Alone in the Dark,鬼屋魔影 重制版,
Tempest: Pirate Action RPG,风暴海盗,
Monkeys Adventures,猴子历险记,
Data Hacker: Corruption,数据黑客：腐败,
Drive to Hell,驶向地狱,
Midnight Mysteries：Salem Witch Trials,午夜迷踪2：塞勒姆女巫的审判,
Chionophile,适雪植物,
the snack world,点心世界,
Sniper Elite,狙击精英,
Soviet Monsters: Ekranoplans,苏联地效飞行器,
Need for Speed: Hot Pursuit,极品飞车 热力追踪,
Super Dungeon Bros,超级地牢兄弟,
Caligula 2,卡里古拉2,
Temple of Yog,尤加之庙,
Blackroom,黑房间,
,超级机器人大战A 携带版,スーパーロボット大戦A PORTABLE
Outpost: Save Yourselves,前哨：拯救自我,
Cure Mate Club,治愈俱乐部,
Senran Kagura: Shinovi Versus,闪乱神乐：少女们的证明,
Lemon Cake,柠檬蛋糕,
A Pixel Story,像素故事,
,大合奏！乐团兄弟P,大合奏!バンドブラザーズP
Plug & Play,即插即玩,
,碧蓝幻想Versus,グランブルーファンタジー ヴァーサス
Li Tan,戾谈,
Red Alert,红色警戒,
Solitaire Game: Christmas,纸牌游戏：圣诞节,
TheLightingOfFire,越过重山,
Talisman: The Horus Heresy,圣符国度：荷鲁斯异端,
Crimson Skies,血色苍穹,
Alien Swarm: Reactive Drop,异星虫群：紧急空降,
The Legend of Heroes: Trails of Cold Steel Kai,英雄传说：闪之轨迹1 改,
,完全合格资格夺取!护理经理试验,マル合格资格夺取!ケアマネジャー试験
Narcotics Police,斩毒：黑与白,
Beats Fever,超级节拍,
Airtone,空之律,
Ori and the Will of the Wisps,精灵与萤火意志,
TAMASHII,灵魂,
Treasure of the Abandoned City,废墟之城寻宝,
,魔界战记4,魔界戦記ディスガイア4
My Time at Sandrock,沙石镇时光,
,神明与命运觉醒的交叉命题,神様と運命覚醒のクロステーゼ
Botanicula,植物精灵,
Let's Sing,一起歌唱,
The Sims 4: Dine Out,模拟人生4：外出用餐,
Virtua Tennis 2009,VR网球 2009,
Double Kick Heroes,鼓点英雄,
Crystal Clash,水晶冲突,
Space Siege,太空围攻,
Galagan's Island,加拉甘之岛,
,羽毛球高高手,
Act of Aggression,侵略行为,
grand theft auto the trilogy – the definitive edition,侠盗猎车手 三部曲 最终版,
,洛克人3 威利博士的末日！？,ロックマン3：Dr.ワイリーの最期！？
Adventure time machine,冒险时光机,
Crysis Remastered Trilogy,孤岛危机 重制版 三部曲合集,
Dead Space: Extraction,死亡空间 血统,
Escape,死亡逃脱,
Thunderblade Saga,雷剑传说,
METAGAL,百变女孩,
Marvel Ultimate Alliance 3: The Black Order,漫威终极联盟3：黑暗教团,
Lu Bu Maker,吕布梦工厂,
FINAL FANTASY VII REBIRTH,最终幻想7 重生,
Gold and Glory: The Road to El Dorado,通往黄金帝国之路,
Achtung Panzer: Kharkov 1943,坦克：哈尔科夫1943,
Timothy and the Tower of Mu,第莫西和姆之塔,
RimWorld,环世界,
START THE PARTY! 2 Save the World,派对总动员2 拯救世界,
,我的队伍勇往直前,
Drakensang: The River of Time,龙歌：时间之河,
,乖离性百万亚瑟王,乖離性ミリオンアーサー
Waterloo: Napoleons Last Battle,滑铁卢：拿破仑最终之战,
Squirreltopia,松鼠托邦,
Heavy Freight Simulator,重型货运模拟,
Capsule Force,压缩力量,
Firework,烟火,
Xtreme Tankz Madness 2,超疯狂坦克战2,
Through the Woods,穿越林间,
Ranch Simulator,牧场模拟器,
Dark Romance 4: Kingdom of Death,黑暗罗曼史4：死亡的王国,
SD Gundam G Generation: Cross Rays,SD高达G世纪：火线纵横,
Goddess Angel,女神守护者,
Gon: Baku Baku Baku Baku Adventure,小恐龙阿贡:狼吞虎咽大冒险,
Lakeview Cabin Collection,湖景小屋 收藏版,
Stikbold! A Dodgeball Adventure,躲避球大冒险,
Savage: The Battle for Newerth,野人：纽沃斯之战,
Blasphemous,亵渎,
Captain Morgane and the Golden Turtle,队长莫嘉娜和金龟,
GNOSIA,古诺希亚,グノーシア
Sudden Strike 4,突袭4,
Cabela's Big Game Hunter Pro Hunts,坎贝拉猎人：职业狩猎,
Serious Sam 3,英雄萨姆3：BFE,
Warriors of the Nile 2,尼罗河勇士2,
Recettear：An Item Shop's Tale,莉希缇之泪：道具屋的传说,
I Bring The Chaos,我带来混乱,
The Greatest Penguin Heist of All Time,史上最大的企鹅抢劫案,
Dawn of the Fred,福瑞德的黎明,
Pro Evolution Soccer 2015,实况足球2015,
King of Throwing,骷髅投掷王,
VirtuaVerse,虚拟宇宙,
ATTACK OF THE KILLER FURRIES,毛绒杀手的袭击,
EARTHLOCK,魔法季节,
From Jianghu,我来自江湖,
Tangle Tower,缠结塔,
Razor 2: Hidden Skies,剃刀2：隐藏的天空,
Syndrome,综合症,
Descent Vector: Space Runner,下降矢量：空间转轮,
The Hundred Year Kingdom,百年王国,
Roundabout,回旋,
Shatter Remastered Deluxe,粉碎：豪华重制版,
Kerbal Space Program,坎巴拉太空计划,
Airsite Mission,天空之鹰：艾尔赛特任务,
Bassmaster Fishing 2022,鲈鱼大师赛2022,
Plants vs. Zombies: Garden Warfare,植物大战僵尸：花园战争,
Cat Museum,猫博物馆,
The Trash Pack,垃圾桶,
League of Evil,邪恶联盟,
Angry Video Game Nerd Adventures,愤怒的游戏宅男,
Team Fortress 2,军团要塞2,
"You Draw, I Guess",你画我歪,
Little Trus Man,方块侠,
Necromunda: Underhive Wars,涅克罗蒙达：蜂巢之战,
Hodgepodge Hollow A Potions Primer,混沌山谷：小矮仙的初级药剂,
Fortress Besieged,围城囚牢,
Smoking Simulator,吸烟模拟器,
Castlevania: Lords of Shadow - Mirror of Fate,恶魔城：暗影之王-宿命镜面,
Death and Taxes,死与税,
Quantumnauts,量子航行历险记,
Google Earth VR,谷歌地球VR,
Badland: Game of the Year Edition,迷失之地：年度版,
The Millionaire of 3 Kingdoms 3,富甲天下3,
God of War 1,战神1,
Eleusis,艾留西斯,
theBlu,蔚蓝,
DEADBOLT,死亡闪电,
Unicorn Tails,独角兽的尾巴,
Indi Canon,印第安加农炮,
Samurai Warriors: Sanada Maru,战国无双：真田丸,
EVE Online,星战前夜,
,ZOIDS机兽战记 狂野爆发 王者爆发,ゾイドワイルド キングオブブラスト
A House of Many Doors,重门之室,
Jumpman,大金刚,
Penny Arcade's On the Rain-Slick Precipice of Darkness 4,彭尼街道冒险4：暗黑雨崖,
Xi You Wu Shuang,西游无双,
Love Ribbon,恋爱纽带,
SaGa Scarlet Grace,沙加 绯色天恩,
Unmatched: Digital Edition,无双对决：数字版,
Glider Sim,滑翔机模拟器,
Table of Tales: The Crooked Crown,童话故事：扭曲的王冠,
TRICK SHOT,特技射击,
Distrust,怀疑,
Chong Zou Chang Zheng Lu,重走长征路,
Days Gone,往日不再,
At Dead Of Night,夜深人静,
Catastronauts,胡闹宇航员,
Million Arthur: Arcana Blood,百万亚瑟王 秘术之血,
Panzer Dragoon: Remake,铁甲飞龙：重制版,
The Chainsaw Incident,电锯插曲,
,天才麻将少女 携带版,
Fray: Reloaded Edition,崩溃边缘,
Hexus,海克瑟斯,
√Letter,方根书简,
,忌火起草,
Phantasmagoria of Dim.Dream,东方梦时空,
Wii Sports Club,Wii 体育俱乐部,
Meeple Station,米宝空间站,
Ninja Gaiden Sigma 2 Plus,忍者龙剑传Σ2+,
Omen Exitio:Plague,崩坏之兆：瘟疫,
Pyramid Plunge,陷洪大冒险,
bajianxiaoyunlu,霸剑霄云录,
Deadpool,死侍,
The Bounty,赏金,
,限界凸骑 怪物卡片对决,限界凸骑 モンスターモンピース
Leave Panda Away,别惹熊猫,
WWE 2K22,美国职业摔角联盟2K22,
Just Xiangqi,棋弈无限：中国象棋,
Carnivores 3: Ice Age,食肉动物3：冰川时代,
Jolly Rover,极乐浪子,
Prison Tycoon 4 SuperMax,监狱大亨4,
,超级机器人大战OG传说：魔装机神3 以正义为傲,スーパーロボット大戦OGサーガ 魔装機神III PRIDE OF JUSTICE
Invokers Tournament,召唤竞技场,
,勇者斗恶龙 创世小玩家,ドラゴンクエストビルダーズアレフガルドを復活せよ
Ninja Shodown,忍者争霸,
The Turkey of Christmas Past,过去的圣诞节火鸡,
Metro PD: Close to You,特別捜査 密着24時,
Dead Alliance,死亡同盟,
Hidden Dragon: Shadow Trace,隐龙传：影踪,
Phantom Dust,幻影沙尘,
Backrooms:MEG Archives,后室：MEG档案库,
Spyhunter: Nowhere to run,间谍猎手：无处可逃,
Golf Club: Wasteland,高尔夫：废土,
The Legend of Korra,科拉传奇,
Mi Gong Chuan Shuo 2,迷宫传说2,
The Midnight Sanctuary,午夜避难所,
Jumpdrive,折跃飞行,
Sniper: Ghost Warrior Contracts,狙击手 幽灵战士 契约,
Inn of Eight Horizons,八荒客栈,
Robot Roller: Derby Disco Dodgeball,机器人碰撞迪斯科躲避球,
Akiba's Beat,秋叶原之击,
Dreamals: Dream Quest,梦境萌宠：梦之探险,
A Mortician's Tale,殡葬师的故事,
Coffee Talk,咖啡谈话,
Command: Northern Inferno,命令：北方地狱,
Deep Rock Galactic,深岩银河,
Cargo Company,货运公司,
,1001拼图：地球编年史4,
Battlefield 4,战地4,
There Came an Echo,回声战令,
Mizu no Senritsu Portable,水之旋律,
,神明之旅,
DJ MAX PORTABLE 3,DJ MAX携带版3,
Hypnospace Outlaw,睡眠空间执法者 法外之徒,
Traffic Jams,交通拥堵,
Everlasting Summer,永恒之夏,
Starlight Tactics,星光战略,
ZombieRun,僵尸大逃亡,
Momodora: Reverie Under the Moonlight,莫莫多拉：月下遐想,
SMQYA,孙美琪疑案：雨儿胡同,
Constructor,建设者,
Minecraft Dungeons,我的世界：地下城,
HELLCARD,地狱卡牌,
Super Lucky's Tale,超级幸运狐,
,光辉物语 完美编年史,ラジアントヒストリア パーフェクトクロノロジー
Yu-Gi-Oh! Master Duel,游戏王：大师决斗,
The Disney Afternoon Collection,迪士尼午后合集,
Treeker: The Lost Glasses,特里克：迷失的眼镜,
Circle Empires,环形帝国,
,蛙畑奇事,カエル畑DEつかまえて☆彡
The Shattering,破碎,
Doomstalker,毁灭追猎者,
Rewrite,重写,
Up: The Video Game,飞屋环游记,
Transcripted,基因转录大挑战,
Colossus Down,巨像陨落,
Omega Quintet,欧米茄五重奏,
Falling Skies: The Game,陨落星辰,
The Entente: Battlefields of World War I,协约国：一战战场,
Stillness Fracture,寂静破碎,
Fall of Porcupine,豪猪镇之秋,
ghost light,灵灯,
Jane's Fighters Anthology,简氏战斗机选集,
Red Riding Hood,小红帽,
Imaginary girl Sequel,空想少女 后日谭,
Orwell: Ignorance is Strength,奥威尔：无知即力量,
Need For Speed,极品飞车,
Wind Fantasy II: ~aLIVE~,风色幻想2 aLIVE,
Die by the Blade,命悬一刃,
Hospital Tycoon,医院大亨,
Spidersaurs,蛛龙,
,魔法女子高中生,A Magical High School Girl / 魔法の女子高生
i am a fish Online,我是一条鱼 Online,
Treasure Drifter: Nian,寻宝浪客 念,
Black and White 2,黑与白2,
Teddy Floppy Ear: Kayaking,大耳熊泰迪：皮划艇,
Brothers In Arms Hell's Highway,战火兄弟连：地狱公路,
Iratus: Lord of the Dead,伊拉图斯：死之主,
Vestaria Saga I: War of the Scions,维斯塔利亚传说：亡国骑士与星辰巫女,
Redneck Ed: Astro Monsters Show,红脖子艾德：太空怪兽秀,
Might and Magic 9: Writ of Fate,魔法门9：命运之书,
League of Light 2: Wicked Harvest,光之联盟2：邪恶收获,
Wildermyth,漫野奇谭,
Race the Sun,与日赛跑,
New Pal XP,新仙剑奇侠传：电视剧纪念XP版,
Alpaca Ball All Stars,草泥马足球全明星,
Meow'n'Dash,喵喵冲刺,
Duel with the Devil,与恶魔的决斗,
Horror Tycoon,恐怖大亨,
TerraTech,泰拉科技,
Under Zero,零度之下,
Nelly Cootalot: The Fowl Fleet,奈丽库塔洛特：鸟兽战队,
Saturday Morning RPG,星期六早晨RPG,
,战国BASARA 高清合集,
Elite: Dangerous,精英 危机四伏,
Sniper Ghost Warrior Contracts,狙击手：幽灵战士契约,
Caterpillar Construction Tycoon,履带车建筑大亨,
"Warhammer 40,000: Boltgun",战锤40K：爆矢枪,
,迷之战果,
,俄罗斯方块,テトリス
Super Sanctum TD,超级幽闭圣地：塔防版,
,暗杀教室 杀老师大包围网,暗殺教室 殺せんせー大包囲網!!
PewDiePie: Legend of the Brofist,PewDiePie 兄弟拳传奇,
Coliseum,古罗马竞技场,
Strange Horticulture,奇异园艺,
Elven Legacy: Siege,精灵遗产：围攻,
,勇者斗恶龙12 被选中的命运之火,ドラゴンクエストXII 選ばれし運命の炎
piaomiaoxiuxianlu,缥缈修仙录,
Hotline Miami,迈阿密热线,
Towerful Defense: Prologue,球球大塔防：球你试试,
Paw Patrol: On A Roll,汪汪队立大功：出发救援,
